StudentID,FirstName,LastName,Gender,DateOfBirth,Course,EnrollmentDate,LastAttendanceDate,Grades,Status,Age,Email,TotalAbsences,PredictedDropout
S5997,Alison,Sullivan,Male,4/24/1997,Philosophy,7/3/2020,7/26/2024,84,Active,30,michelle36@example.com,9,Yes
S3352,Eric,Lutz,Male,9/21/2005,Psychology,9/29/2023,12/18/2024,64,Inactive,20,tranmichael@example.org,10,No
S3516,Alexis,Dodson,Male,5/3/1995,Chemistry,5/11/2020,5/2/2024,71,Inactive,23,petersjoy@example.com,10,No
S5202,Jorge,Schroeder,Female,12/4/1999,Biology,10/5/2024,10/26/2024,67,Active,30,josephwright@example.net,3,Yes
S2991,Daniel,Jones,Female,6/10/2002,Chemistry,8/14/2020,6/4/2024,81,Active,23,marissa03@example.org,5,Yes
S3440,Brittany,Patel,Male,5/23/2004,Chemistry,7/18/2021,9/4/2024,88,Active,25,wmartinez@example.org,0,Yes
S1483,Ricky,Flynn,Male,3/25/2003,Computer Science,8/1/2021,8/1/2024,72,Active,23,bhoffman@example.org,0,Yes
S5067,Greg,Calhoun,Female,4/4/1998,Computer Science,6/22/2023,11/4/2024,98,Active,22,morgansmith@example.com,9,Yes
S6243,Alexander,Simmons,Female,1/10/1998,Psychology,5/31/2022,12/17/2024,90,Active,23,smcguire@example.org,6,Yes
S5275,Randy,Higgins,Female,8/1/2002,History,5/30/2021,1/16/2024,85,Inactive,25,marybryant@example.net,1,No
S4639,Donna,Gonzales,Female,3/5/1994,Physics,12/20/2021,9/27/2024,98,Inactive,27,christie10@example.com,10,No
S1300,Clinton,Kelley,Male,12/16/1994,Psychology,2/29/2020,2/16/2024,62,Inactive,26,lindarichardson@example.org,3,No
S5532,Tara,Anderson,Male,5/11/1998,Computer Science,4/7/2022,11/8/2024,63,Active,23,lgarrison@example.org,1,Yes
S3834,Michael,Monroe,Male,6/5/2005,Computer Science,3/11/2020,8/26/2024,79,Inactive,20,lawrence17@example.org,10,Yes
S3231,Courtney,Robinson,Male,8/28/1996,Biology,3/10/2024,5/11/2024,78,Inactive,28,michaelmcclure@example.org,5,Yes
S2718,Scott,Moody,Male,3/30/1996,Philosophy,8/15/2022,8/3/2024,73,Active,24,bowersjimmy@example.net,3,No
S3083,Matthew,Li,Male,5/5/2004,Computer Science,11/18/2024,12/5/2024,82,Active,24,nwilkinson@example.org,8,Yes
S8791,Michael,Dixon,Male,9/5/1997,Biology,6/14/2020,5/29/2024,71,Inactive,19,isantos@example.com,2,No
S9778,Bianca,Cantu,Female,3/26/2003,Chemistry,12/22/2020,12/20/2024,86,Inactive,24,mschneider@example.com,6,Yes
S1165,Colin,Williams,Male,7/8/2005,Biology,10/23/2021,6/16/2024,88,Inactive,23,smithnatalie@example.com,5,Yes
S4294,Sarah,Shaw,Female,7/1/1995,Chemistry,2/19/2022,12/21/2024,87,Active,21,russell31@example.org,3,No
S5879,Karen,Nguyen,Female,4/30/2002,Mathematics,10/20/2024,2/21/2024,83,Inactive,27,tyleroneal@example.net,10,No
S3542,Jessica,Harris,Male,1/4/2000,History,6/19/2021,2/9/2024,78,Inactive,18,milleraaron@example.org,0,No
S2166,Suzanne,Hill,Male,9/27/2004,Economics,4/17/2022,5/24/2024,82,Active,27,stephen94@example.com,5,Yes
S4196,Jason,Cole,Female,3/3/2004,Engineering,1/29/2021,7/11/2024,94,Inactive,21,amy91@example.net,7,Yes
S2180,Frank,Rodriguez,Female,6/19/1995,Computer Science,11/28/2021,7/30/2024,72,Inactive,20,christinejones@example.com,9,No
S7811,Lisa,Sellers,Female,9/29/1995,Economics,2/23/2023,2/28/2024,65,Inactive,18,bryan30@example.com,0,No
S9989,Corey,Velez,Male,7/21/1996,Economics,11/8/2022,9/27/2024,74,Active,18,katherine87@example.org,8,Yes
S5146,Kristin,Yoder,Male,9/29/2001,Psychology,1/22/2023,9/7/2024,61,Inactive,20,laura21@example.net,10,No
S4421,Luke,Griffith,Female,9/28/1995,Chemistry,7/31/2023,9/23/2024,66,Inactive,24,tflores@example.com,10,Yes
S1206,Chelsea,Villegas,Female,1/17/1999,Economics,6/22/2022,1/10/2024,68,Active,24,nicholsonamy@example.org,10,No
S6882,Sara,Morales,Female,6/22/1997,Physics,10/11/2021,11/10/2024,94,Active,18,frederickrachel@example.net,4,Yes
S5503,Donald,Torres,Female,9/24/2004,Psychology,10/23/2024,5/9/2024,70,Active,18,jacob89@example.org,5,Yes
S9243,Michaela,Cummings,Male,6/17/2004,Engineering,6/12/2024,3/23/2024,87,Inactive,30,rnewton@example.com,5,Yes
S9646,Lori,James,Female,8/19/1997,Engineering,1/26/2020,5/6/2024,64,Inactive,30,emilyjackson@example.net,2,No
S7317,Jay,Torres,Male,5/6/2004,History,6/11/2021,10/15/2024,96,Active,24,xwood@example.com,0,Yes
S5024,David,Miller,Male,1/28/2005,Philosophy,7/6/2024,11/24/2024,75,Active,26,katherine02@example.org,2,Yes
S1065,Jennifer,Young,Male,12/17/2001,Economics,6/9/2024,6/15/2024,69,Active,29,xjones@example.com,3,Yes
S5499,Danny,Alexander,Male,6/3/1994,Mathematics,2/6/2021,1/12/2024,62,Inactive,28,mark86@example.net,7,Yes
S6190,James,Jones,Male,3/24/1996,Chemistry,7/21/2023,1/3/2024,80,Active,30,anthonywhitehead@example.org,8,Yes
S4976,Chelsea,Huerta,Male,4/14/2003,Economics,6/1/2024,5/21/2024,62,Inactive,26,curtis85@example.com,10,No
S3390,Kyle,Hunter,Male,11/19/1998,Psychology,8/30/2024,1/15/2024,91,Active,20,zjones@example.net,9,Yes
S6616,Rachel,Neal,Female,12/28/2003,Physics,10/13/2024,3/29/2024,91,Active,24,mary68@example.com,2,Yes
S6604,Anthony,Gonzalez,Male,3/17/2004,Computer Science,10/14/2024,7/12/2024,99,Inactive,29,thomasromero@example.com,5,No
S1069,Kevin,Smith,Female,1/13/1994,Mathematics,2/21/2020,1/31/2024,91,Active,21,yparker@example.org,10,Yes
S9034,Kari,Jones,Female,1/1/2006,Computer Science,3/20/2023,8/12/2024,79,Active,24,mark70@example.net,3,Yes
S4688,Stacy,Thomas,Female,1/28/1999,Philosophy,5/10/2022,6/21/2024,100,Active,23,linbrandon@example.net,4,Yes
S5262,Jennifer,Smith,Male,3/3/2003,Physics,7/13/2022,1/24/2024,82,Inactive,20,dramirez@example.org,3,Yes
S2786,Jennifer,Gray,Male,11/23/2006,History,8/6/2023,2/10/2024,91,Inactive,25,russellbrian@example.org,2,Yes
S6286,Emily,Park,Female,10/17/2003,Physics,10/21/2023,9/6/2024,100,Inactive,25,robin40@example.com,3,No
S6456,Jackie,Wolfe,Male,12/7/2001,Biology,1/23/2023,6/11/2024,68,Active,18,nicholas83@example.org,10,Yes
S6782,Stacy,Wilson,Female,10/5/1996,Computer Science,5/23/2023,9/22/2024,62,Inactive,29,reedchristina@example.com,10,No
S8976,Brandon,Barnes,Female,10/25/1998,History,3/28/2023,7/28/2024,81,Inactive,21,wryan@example.net,3,No
S2127,Curtis,Mitchell,Female,9/4/2001,History,8/26/2021,12/6/2024,84,Inactive,18,johnsongary@example.org,7,No
S5423,Stephen,Green,Female,3/3/1997,Physics,6/2/2021,6/6/2024,60,Active,23,ashleyali@example.net,8,No
S5029,Veronica,Woodward,Male,5/5/2004,History,6/16/2021,10/25/2024,94,Inactive,21,toddriley@example.net,10,Yes
S5967,Daniel,Morris,Female,6/1/2001,Philosophy,8/13/2023,2/25/2024,64,Inactive,19,ubrooks@example.com,3,No
S1554,Melissa,Mckee,Female,4/11/2001,Computer Science,12/30/2022,10/15/2024,69,Inactive,19,tkidd@example.org,4,No
S6462,Michelle,Ramos,Male,1/5/2002,Chemistry,1/24/2023,5/18/2024,61,Active,18,ophillips@example.org,3,No
S2951,Karen,Wheeler,Male,6/18/2002,Physics,6/24/2023,8/11/2024,60,Active,25,richardkrueger@example.org,9,Yes
S5466,Vincent,Torres,Male,12/19/1999,Biology,8/3/2020,6/27/2024,69,Inactive,29,keith87@example.net,4,Yes
S3446,Harold,Griffin,Female,6/7/1999,Computer Science,7/10/2023,10/19/2024,90,Active,24,hicksthomas@example.net,0,Yes
S3496,Jennifer,Moore,Male,5/20/2006,Computer Science,7/30/2023,11/1/2024,75,Active,18,hwilliams@example.net,9,Yes
S6795,Andrew,Andrews,Female,4/14/2004,Mathematics,2/16/2023,6/26/2024,71,Active,23,jennifer70@example.com,3,No
S5648,Christopher,Barnes,Male,10/6/2001,Mathematics,11/13/2024,11/9/2024,61,Inactive,29,simmonssara@example.com,8,Yes
S6886,Jodi,Poole,Male,9/9/1998,Economics,4/9/2022,10/20/2024,77,Active,29,jessicabrewer@example.org,9,Yes
S1672,Sara,Lee,Female,6/9/1997,History,10/31/2022,8/26/2024,73,Inactive,25,simpsonnorman@example.com,6,Yes
S7044,Denise,Klein,Female,9/22/2006,Mathematics,10/6/2022,10/8/2024,83,Active,25,summersemily@example.org,9,Yes
S2738,Michael,Washington,Female,9/14/1996,Physics,5/15/2022,7/31/2024,63,Inactive,21,fgrant@example.net,6,Yes
S5685,Jennifer,Howard,Male,5/4/2006,Psychology,2/22/2020,3/19/2024,88,Inactive,19,reynoldsheather@example.org,3,No
S8591,Erin,Santana,Male,2/3/1999,Physics,7/3/2020,11/22/2024,94,Active,25,mspencer@example.net,0,No
S1921,Hannah,Stafford,Male,2/6/1994,Psychology,1/14/2024,3/24/2024,93,Active,18,katiejoyce@example.org,9,Yes
S7797,Vicki,Harvey,Male,4/13/2002,Philosophy,9/28/2021,4/28/2024,91,Inactive,18,tyrone77@example.com,8,No
S1176,James,Long,Female,5/12/1995,Philosophy,10/28/2024,3/17/2024,79,Active,18,ufoster@example.net,4,Yes
S5574,Kelsey,Gill,Male,6/1/2004,Engineering,2/2/2023,6/8/2024,80,Inactive,23,zsampson@example.net,1,No
S7154,Jeremy,Riggs,Male,12/16/2006,Philosophy,6/23/2022,11/8/2024,83,Active,29,jessicalawrence@example.com,7,Yes
S7122,Natalie,Adams,Female,6/19/1995,Psychology,8/24/2021,4/9/2024,73,Inactive,20,jeremydavis@example.org,9,No
S4076,Jesse,Meyers,Female,11/7/2002,Physics,6/27/2024,9/2/2024,70,Active,24,taylorjuan@example.org,5,Yes
S4744,Cynthia,Mcgee,Female,5/6/2002,Computer Science,4/6/2020,3/15/2024,80,Active,29,cdominguez@example.com,1,No
S6357,Roger,Marshall,Female,1/6/1998,Computer Science,12/22/2024,10/16/2024,63,Inactive,19,mahoneycheryl@example.com,9,Yes
S7584,Julia,Duncan,Male,11/25/2001,History,2/20/2020,4/23/2024,90,Active,21,benjamingarcia@example.net,2,Yes
S7092,Christopher,Vaughn,Female,12/29/2001,Engineering,3/22/2020,5/9/2024,94,Inactive,23,qcross@example.org,3,No
S1824,Cathy,Wallace,Female,5/29/2002,Psychology,5/19/2020,4/6/2024,77,Inactive,22,austinrichards@example.org,10,No
S5227,Nicole,Miller,Female,4/15/2006,Philosophy,6/18/2022,4/21/2024,81,Inactive,22,pollardwilliam@example.net,9,Yes
S6593,Andrea,Spencer,Female,3/15/1998,Physics,8/24/2021,11/5/2024,66,Inactive,23,kevinpatrick@example.net,1,No
S1074,Robert,Rice,Female,3/26/2005,Chemistry,8/16/2021,3/17/2024,78,Active,23,amandarodriguez@example.net,9,No
S8542,Tara,Wolfe,Female,7/6/2005,Biology,3/21/2023,7/6/2024,88,Inactive,29,courtney93@example.net,4,No
S7899,Tim,Barnes,Male,1/17/2006,Computer Science,4/17/2020,10/26/2024,62,Inactive,26,daniel68@example.com,8,Yes
S8978,Mary,Noble,Male,3/9/2000,Mathematics,8/14/2021,6/4/2024,66,Inactive,28,calebbruce@example.net,0,No
S4353,Erica,Mckenzie,Female,3/2/1995,History,8/16/2021,4/26/2024,62,Active,22,james38@example.com,2,No
S5500,Katie,Parker,Male,1/27/2004,Mathematics,4/20/2021,10/17/2024,85,Inactive,19,timothycamacho@example.org,6,Yes
S1693,Larry,Williams,Female,12/10/1999,Engineering,7/28/2023,5/2/2024,98,Active,30,deborahkemp@example.org,10,Yes
S5701,Olivia,Walker,Male,8/3/1994,Computer Science,4/11/2024,9/14/2024,75,Active,26,andrebrooks@example.net,8,Yes
S5051,Sharon,Bender,Male,2/5/2001,Chemistry,6/2/2024,8/19/2024,84,Inactive,19,willislaura@example.net,7,Yes
S5258,Gary,Phillips,Female,6/11/1995,Engineering,5/7/2020,10/5/2024,69,Active,25,john11@example.net,1,No
S6994,Jessica,Ross,Female,4/14/2004,Economics,1/8/2022,8/10/2024,62,Active,21,elliskim@example.org,10,No
S7238,Sabrina,Hernandez,Female,12/4/1996,Computer Science,3/13/2023,1/31/2024,66,Active,20,cameron11@example.com,3,No
S8825,Adam,Lopez,Male,4/10/1995,Computer Science,5/10/2020,11/16/2024,60,Active,27,cmoore@example.org,4,Yes
S2983,William,Vega,Female,5/21/2001,Economics,4/3/2020,5/17/2024,65,Inactive,20,crodriguez@example.com,4,No
S7562,Samantha,Ellis,Male,10/21/1994,History,8/18/2024,6/21/2024,86,Active,19,vbutler@example.com,3,Yes
S3009,Jessica,Blackwell,Female,1/5/1995,History,6/18/2022,3/7/2024,62,Active,21,christopher58@example.net,9,Yes
S8209,Bobby,Brown,Male,3/15/2004,Computer Science,3/7/2021,3/1/2024,64,Inactive,22,gblackburn@example.net,10,No
S8609,Robert,Johnson,Male,3/28/1995,Chemistry,6/22/2024,11/29/2024,90,Active,18,tharris@example.org,8,Yes
S5041,Christina,Manning,Male,8/5/2002,Physics,10/14/2022,11/22/2024,70,Active,27,williamlee@example.org,2,Yes
S4010,Jill,Bass,Female,9/29/1999,Philosophy,11/29/2023,4/20/2024,63,Active,23,kevingonzalez@example.org,3,No
S5812,Valerie,Thomas,Female,8/30/2001,Economics,11/3/2023,9/12/2024,72,Active,30,ysanders@example.org,5,No
S4997,Justin,Anthony,Male,12/3/1998,Engineering,3/1/2022,1/10/2024,69,Active,30,luis70@example.net,5,Yes
S1193,Sandra,Wilson,Male,10/2/2005,Philosophy,6/9/2024,10/19/2024,86,Inactive,19,smithrichard@example.org,4,No
S8735,Allison,Woods,Male,2/14/1994,Mathematics,1/21/2021,1/25/2024,94,Active,25,ihernandez@example.org,1,No
S3843,Nicholas,Avila,Female,12/9/1996,History,6/23/2023,1/31/2024,65,Inactive,25,allenchristian@example.net,8,Yes
S1328,Jennifer,Brown,Female,10/1/1996,Computer Science,6/8/2021,4/29/2024,96,Active,30,whitakertimothy@example.com,9,No
S9297,Nicholas,Bailey,Male,7/26/2000,Economics,7/11/2020,11/30/2024,82,Inactive,30,jameschapman@example.net,5,No
S3897,Amy,Clayton,Male,3/12/2002,Computer Science,2/26/2022,10/10/2024,92,Active,27,michaelagreene@example.org,1,Yes
S1669,Natalie,Robinson,Female,11/30/2000,Physics,8/14/2022,6/28/2024,70,Inactive,26,jenniferbailey@example.net,5,Yes
S2556,Erin,Ballard,Female,1/16/2005,Biology,2/21/2023,3/28/2024,84,Active,28,jason62@example.org,1,No
S8646,Tara,Chavez,Male,6/25/1996,Physics,12/25/2021,3/28/2024,85,Inactive,30,ucannon@example.org,0,No
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,100,,,,,
